,Pulse Rate,Body,SpO2,EEG A1-A2,EEG C3-A2,EEG C4-A1,Effort THO,Effort ABD,Tracheal
0,0.0,0.0,0.0,0.0047760738536312295,0.0047760738536312295,0.0047760738536312295,0.0015259021896696422,0.0015259021896696422,0.0005951018539711605
1,0.0,6.0,0.0,-13.291813534752459,0.46327916380556533,213.82005035477223,-50.78355077439536,-53.18226901655604,0.0003509575036240177
2,0.0,6.0,0.0,-7.9426108186465605,0.46327916380556533,136.48586251621268,-34.05661097123674,-37.004654001678496,0.000289921416037232
3,62.0,6.0,96.89999999999999,-20.322194247348783,0.46327916380556533,121.35526054779886,-22.200350957503623,-22.98771648737316,0.001083390554665446
4,62.0,6.0,96.89999999999999,-19.2523537041276,0.46327916380556533,127.315800717174,-12.404058899824522,-8.650339513237201,0.0005340657663843748
5,62.0,6.0,96.89999999999999,127.62146944380862,0.46327916380556533,-313.00000000000006,-6.7734798199435415,-3.8529030289158466,0.0010223544670786603
6,62.0,6.0,96.89999999999999,55.17798123140304,0.46327916380556533,132.5121690699626,-7.240405889982452,2.2995345998321506,0.0012054627298390174
7,62.0,6.0,96.6,-91.39017318989858,0.46327916380556533,313.0,16.353093766689554,11.967650873579004,0.0006866559853513389
8,59.0,6.0,96.69999999999999,-75.95390249485013,0.46327916380556533,313.0,-3.953612573434043,-9.053177691309987,0.0005645838101777676
9,62.0,6.0,96.69999999999999,-228.17692835889224,0.46327916380556533,242.09440756847485,-16.295109483482108,6.8863965819790955,0.0027313649195086593
10,62.0,6.0,96.69999999999999,11.314518959334674,0.46327916380556533,178.97381551842525,-1.197833218890669,29.344625009536887,-0.0008087281605249103
11,62.0,6.0,96.6,313.0,3.21429770351717,-313.00000000000006,0.2670328831921874,-16.258487830930036,0.0005340657663843748
12,63.0,6.0,96.49999999999999,-313.00000000000006,0.46327916380556533,313.0,-0.63935301747158,-7.478446631570916,-0.006301976043335622
13,63.0,6.0,96.39999999999999,-313.00000000000006,35.76801709010449,313.0,9.358358129243916,2.0798046845197224,-0.0004730296787975891
14,65.0,6.0,96.39999999999999,-117.06634622720688,35.30951400015256,176.06996261539632,0.8896009765774013,1.0727092393377584,-0.0007171740291447319
15,65.0,6.0,96.39999999999999,-13.59748226138708,58.38750286106657,47.9947661554894,1.466392004272526,-2.250705729762722,0.0006561379415579462
16,66.0,6.0,95.99999999999999,22.471427481498402,73.05960173952846,11.314518959334674,7.005416952773327,7.399099717708095,0.00038147554741741054
