,Pulse Rate,Body,SpO2,EEG A1-A2,EEG C3-A2,EEG C4-A1,Effort THO,Effort ABD,Tracheal
1396,52.0,6.0,98.19999999999999,23.999771114671518,41.575722896162326,34.39250782024869,-0.89570458533608,-0.6576638437476158,-0.0021515220874341956
1397,52.0,6.0,98.19999999999999,10.550347142748116,15.288212405584769,20.026077668421422,-0.21820401312275883,0.03814755474174106,-0.003036545357442588
1398,52.0,6.0,98.1,5.812481879911464,7.799328603036511,53.3439688715953,-0.30975814450293737,-0.09918364232852674,-0.0001373311970702678
1399,52.0,6.0,98.1,27.820630197604302,39.43604180971997,50.13444724193176,0.8072022583352407,0.4592965590905623,-4.5777065690089265e-05
1400,52.0,6.0,97.99999999999999,13.148531319142409,33.016998550392884,43.40973525597006,-0.1083390554665446,-0.09918364232852674,-0.0003509575036240177
1401,51.0,6.0,97.99999999999999,13.607034409094343,-23.53171587701232,-8.859616998550429,-0.1266498817425803,0.11139085984588389,-0.0009002822919050889
1402,51.0,6.0,97.8,28.89047074082548,62.20836194399936,56.400656137941525,-0.33722438391699094,-0.044251163500419625,0.0005951018539711605
1403,51.0,6.0,97.69999999999999,24.61110856794076,47.53626306553747,35.30951400015256,0.17547875181200884,-0.30975814450293737,-0.0006256198977645532
1404,51.0,6.0,97.6,12.07869077592123,43.10406652933544,78.25597009231706,0.07476920729381246,0.27618829633020525,-0.0007782101167315176
1405,51.0,6.0,97.49999999999999,46.313588158998975,42.79839780270081,18.956237125200243,2.903791866941329,1.3107499809262226,-0.0009918364232852674
1406,51.0,6.0,97.49999999999999,7.1879911497672655,18.344899671930996,39.74171053635459,6.520180056458381,4.606698710612649,4.5777065690089265e-05
1407,51.0,6.0,97.39999999999999,-40.49633020523388,-21.697703517204584,40.50588235294114,3.1784542610818645,2.7023727779049365,0.0004730296787975891
1408,52.0,6.0,97.19999999999999,8.869169146257692,8.410666056305757,20.331746395056044,-4.493781948577096,-1.9211108567940796,-0.0013580529488059815
1409,52.0,6.0,96.99999999999999,31.33582055390246,25.069611657892697,1.991622796978679,-4.365606164644846,-3.1204699778744183,0.0005035477225909819
